user,task_id,photo_id,photo_type,segment_num,segment_type,segment_value
ttuser,087a13a4_4a0c_4796_8995_db6ebd096f0e,1002862,ДС,0,Порода,Песчаник
ttuser,087a13a4_4a0c_4796_8995_db6ebd096f0e,1002862,ДС,1,Разрушенность,Разлом
ttuser,087a13a4_4a0c_4796_8995_db6ebd096f0e,1002862,ДС,2,Разрушенность,Разлом
ttuser,087a13a4_4a0c_4796_8995_db6ebd096f0e,1002862,ДС,3,Разрушенность,Разлом
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,0,Порода,Песчаник
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,1,Разрушенность,Разлом
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,2,Разрушенность,Разлом
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,3,Разрушенность,Разлом
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,4,Разрушенность,Разлом
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,5,Разрушенность,Разлом
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,6,Разрушенность,Разлом
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,7,Разрушенность,Разлом
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,8,Разрушенность,Разлом
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,9,Разрушенность,Разлом
conduser24,80e5d915_89d0_428e_a89c_faa866e0181b,1009510,ДС,10,Порода,Песчаник
conduser21,c9d234ce_84ba_4377_a1bd_b348c4c73da5,1009510,ДС,0,Порода,Алевролит
conduser21,c9d234ce_84ba_4377_a1bd_b348c4c73da5,1009510,ДС,1,Разрушенность,Разлом
conduser21,c9d234ce_84ba_4377_a1bd_b348c4c73da5,1009510,ДС,2,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,0,Порода,Алевролит
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,1,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,2,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,3,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,4,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,5,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,6,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,7,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,8,Порода,Алевролит
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,9,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,10,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,11,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,12,Порода,Алевролит
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,13,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,14,Порода,Алевролит
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,15,Разрушенность,Разлом
conduser21,eff13f62_d167_43d4_ab16_a86ab60ede2e,1007158,ДС,16,Разрушенность,Разлом
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,0,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,1,Разрушенность,Разлом
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,2,Разрушенность,Разлом
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,3,Разрушенность,Разлом
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,4,Разрушенность,Разлом
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,5,Разрушенность,Разлом
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,6,Разрушенность,Разлом
